timestamp,prefix,peer_asn,as_path
1643854178,121.53.104.0/24,60501,60501 57264 41327 6461 9457
1643854182,121.53.104.0/24,15435,15435 6461 9457
1643854184,121.53.104.0/24,51185,51185 6762 6461 9457
1643854184,121.53.104.0/24,41666,41666 34927 174 6461 9457
1643854189,121.53.104.0/24,14907,14907 3320 6461 9457
1643854189,121.53.104.0/24,30132,30132 20562 6461 9457
1643854189,121.53.104.0/24,3320,3320 6461 9457
1643854189,121.53.104.0/24,59605,59605 6461 9457
1643854167,121.53.104.0/24,42541,42541 1299 6461 9457
1643854167,121.53.104.0/24,12859,12859 6461 9457
1643854167,121.53.104.0/24,1103,1103 6461 9457
1643854167,121.53.104.0/24,50673,50673 6461 9457
1643854167,121.53.104.0/24,209650,209650 34927 34549 5511 6461 9457
1643854167,121.53.104.0/24,209650,209650 34927 58299 13030 6461 9457
1643854167,121.53.104.0/24,3280,3280 34927 34549 5511 6461 9457
1643854167,121.53.104.0/24,3280,3280 34927 58299 13030 6461 9457
1643854167,121.53.104.0/24,8218,8218 6461 9457
1643854167,121.53.104.0/24,206313,206313 1273 6461 9457
1643854168,121.53.104.0/24,14907,14907 13030 6461 9457
1643854168,121.53.104.0/24,29467,29467 35280 6461 9457
1643854168,121.53.104.0/24,8455,8455 1299 6461 9457
1643854168,121.53.104.0/24,14907,14907 13030 6461 9457
1643854168,121.53.104.0/24,6830,6830 6461 9457
1643854168,121.53.104.0/24,6453,6453 6461 9457
1643854168,121.53.104.0/24,25160,25160 1299 6461 9457
1643854168,121.53.104.0/24,199524,199524 3257 6461 9457
1643854168,121.53.104.0/24,199524,199524 1299 6461 9457
1643854168,121.53.104.0/24,8283,8283 38930 6453 6461 9457
1643854168,121.53.104.0/24,8283,8283 6461 9457
1643854168,121.53.104.0/24,47147,47147 6461 9457
1643854168,121.53.104.0/24,47147,47147 6461 9457
1643854168,121.53.104.0/24,1103,1103 2603 6461 9457
1643854168,121.53.104.0/24,1103,1103 20562 6461 9457
1643854168,121.53.104.0/24,1103,1103 20562 6461 9457
1643854168,121.53.104.0/24,6461,6461 9457
1643854168,121.53.104.0/24,6908,6908 6461 9457
1643854168,121.53.104.0/24,6908,6908 6461 9457
1643854168,121.53.104.0/24,3214,3214 3257 6461 9457
1643854168,121.53.104.0/24,205206,205206 33891 6461 9457
1643854168,121.53.104.0/24,205206,205206 1299 6461 9457
1643854168,121.53.104.0/24,3214,3214 3257 6461 9457
1643854168,121.53.104.0/24,3214,3214 3257 6461 9457
1643854168,121.53.104.0/24,34019,34019 8218 6461 9457
1643854168,121.53.104.0/24,34019,34019 6461 9457
1643854168,121.53.104.0/24,34019,34019 6461 9457
1643854168,121.53.104.0/24,34019,34019 6461 9457
1643854168,121.53.104.0/24,24482,24482 6453 6461 9457
1643854168,121.53.104.0/24,24482,24482 6461 9457
1643854168,121.53.104.0/24,24482,24482 6461 9457
1643854168,121.53.104.0/24,209650,209650 34927 58299 6830 6461 9457
1643854168,121.53.104.0/24,3280,3280 34927 58299 6830 6461 9457
1643854168,121.53.104.0/24,1140,1140 6461 9457
1643854168,121.53.104.0/24,39351,39351 1299 6461 9457
1643854168,121.53.104.0/24,39351,39351 1299 6461 9457
1643854168,121.53.104.0/24,39351,39351 1299 6461 9457
1643854168,121.53.104.0/24,39351,39351 1299 6461 9457
1643854168,121.53.104.0/24,206313,206313 1273 6461 9457
1643854168,121.53.104.0/24,206313,206313 9002 6461 9457
1643854169,121.53.104.0/24,14907,14907 1299 6461 9457
1643854169,121.53.104.0/24,25160,25160 2914 6461 9457
1643854169,121.53.104.0/24,60501,60501 3269 6762 6461 9457
1643854169,121.53.104.0/24,3280,3280 39737 1299 6461 9457
1643854169,121.53.104.0/24,6233,6233 1299 6461 9457
1643854169,121.53.104.0/24,39351,39351 1299 6461 9457
1643854170,121.53.104.0/24,199938,199938 1299 6461 9457
1643854172,121.53.104.0/24,209650,209650 34927 6830 6461 9457
1643854174,121.53.104.0/24,34927,34927 58299 6939 6461 9457
1643854174,121.53.104.0/24,34927,34927 6830 6461 9457
1643854174,121.53.104.0/24,34927,34927 20495 6461 9457
1643854174,121.53.104.0/24,209650,209650 34927 20495 6461 9457
1643854174,121.53.104.0/24,41666,41666 34927 6830 6461 9457
1643854178,121.53.104.0/24,60501,60501 57264 41327 6461 9457
1643854182,121.53.104.0/24,15435,15435 6461 9457
1643854184,121.53.104.0/24,51185,51185 6762 6461 9457
1643854184,121.53.104.0/24,41666,41666 34927 174 6461 9457
1643854189,121.53.104.0/24,14907,14907 3320 6461 9457
1643854189,121.53.104.0/24,30132,30132 20562 6461 9457
1643854189,121.53.104.0/24,3320,3320 6461 9457
1643854189,121.53.104.0/24,59605,59605 6461 9457
1643854394,121.53.104.0/24,50673,50673 174 6461 9457
1643854394,121.53.104.0/24,24482,24482 6461 9457
1643854394,121.53.104.0/24,8455,8455 3356 6461 9457
1643854394,121.53.104.0/24,6908,6908 2914 6461 9457
1643854394,121.53.104.0/24,34019,34019 6461 9457
1643854394,121.53.104.0/24,34019,34019 6461 9457
1643854394,121.53.104.0/24,24482,24482 6461 9457
1643854394,121.53.104.0/24,24482,24482 6461 9457
1643854394,121.53.104.0/24,51185,51185 3356 6461 9457
1643854394,121.53.104.0/24,6830,6830 6461 9457
1643854394,121.53.104.0/24,6453,6453 6461 9457
1643854394,121.53.104.0/24,199524,199524 2914 6461 9457
1643854394,121.53.104.0/24,199524,199524 174 6461 9457
1643854394,121.53.104.0/24,8283,8283 57866 6461 9457
1643854394,121.53.104.0/24,47147,47147 6461 9457
1643854394,121.53.104.0/24,12859,12859 2914 6461 9457
1643854394,121.53.104.0/24,8218,8218 6461 9457
1643854395,121.53.104.0/24,6908,6908 2914 6461 9457
1643854395,121.53.104.0/24,3214,3214 3257 6461 9457
1643854395,121.53.104.0/24,34019,34019 8218 6461 9457
1643854395,121.53.104.0/24,34019,34019 3303 6461 9457
1643854395,121.53.104.0/24,42541,42541 1299 6461 9457
1643854395,121.53.104.0/24,8283,8283 57866 3491 6461 9457
