prefix,peer_asn,as_path
150.241.121.0/24,34549,34549 20473
150.241.121.0/24,37721,37721 20473
150.241.121.0/24,49432,49432 48362 20473
150.241.121.0/24,58057,58057 174 20473
150.241.121.0/24,34800,34800 34549 20473
150.241.121.0/24,38001,38001 9002 20473
150.241.121.0/24,202365,202365 50673 174 20473
150.241.121.0/24,22652,22652 1299 20473
150.241.121.0/24,44393,44393 58057 6939 20473
150.241.121.0/24,204092,204092 30781 1299 20473
150.241.121.0/24,15562,15562 2914 3257 20473
150.241.121.0/24,34800,34800 58057 50673 174 20473
150.241.121.0/24,55720,55720 6939 20473
150.241.121.0/24,50628,50628 1299 20473
150.241.121.0/24,45049,45049 6696 1299 20473
150.241.121.0/24,34927,34927 56655 1299 20473
150.241.121.0/24,3333,3333 1103 2603 20473
150.241.121.0/24,3549,3549 3356 1299 20473
150.241.121.0/24,59919,59919 9002 20473
150.241.121.0/24,206499,206499 34549 20473
150.241.121.0/24,13830,13830 971 174 20473
150.241.121.0/24,1403,1403 174 20473
150.241.121.0/24,4608,4608 1221 4637 3257 20473
150.241.121.0/24,14907,14907 1299 20473
150.241.121.0/24,34854,34854 1299 20473
150.241.121.0/24,50304,50304 20473
150.241.121.0/24,50300,50300 20473
150.241.121.0/24,58057,58057 34549 20473
150.241.121.0/24,17639,17639 20473
150.241.121.0/24,20205,20205 1299 20473
150.241.121.0/24,34927,34927 52025 174 20473
150.241.121.0/24,57381,57381 50304 20473
150.241.121.0/24,24482,24482 20473
150.241.121.0/24,213241,213241 20473
150.241.121.0/24,328840,328840 327727 174 20473
150.241.121.0/24,29504,29504 15935 174 20473
150.241.121.0/24,57821,57821 12586 3257 20473
150.241.121.0/24,7018,7018 1299 20473
150.241.121.0/24,216285,216285 8280 6762 174 20473
150.241.121.0/24,61218,61218 6939 20473
150.241.121.0/24,48185,48185 1299 20473
150.241.121.0/24,20514,20514 1299 20473
150.241.121.0/24,132825,132825 2914 1299 20473
150.241.121.0/24,55720,55720 2914 1299 20473
150.241.121.0/24,49673,49673 3216 20473
150.241.121.0/24,852,852 3257 20473
