prefix,peer_asn,as_path
206.162.244.0/24,34549,34549 1299 53850
206.162.244.0/24,37721,37721 6939 53850
206.162.244.0/24,49432,49432 48362 6939 53850
206.162.244.0/24,58057,58057 174 53850
206.162.244.0/24,38001,38001 6939 53850
206.162.244.0/24,202365,202365 50673 174 53850
206.162.244.0/24,22652,22652 6939 53850
206.162.244.0/24,44393,44393 35710 4809 1299 53850
206.162.244.0/24,204092,204092 34019 3303 3257 53850
206.162.244.0/24,15562,15562 2914 3257 53850
206.162.244.0/24,34800,34800 58057 50673 174 53850
206.162.244.0/24,208972,208972 6939 53850
206.162.244.0/24,328977,328977 6939 53850
206.162.244.0/24,55720,55720 2914 3257 53850
206.162.244.0/24,50628,50628 6939 53850
206.162.244.0/24,45049,45049 6939 53850
206.162.244.0/24,34927,34927 6939 53850
206.162.244.0/24,3333,3333 1257 1299 53850
206.162.244.0/24,3549,3549 3356 1299 53850
206.162.244.0/24,59919,59919 6939 53850
206.162.244.0/24,206499,206499 34549 1299 53850
206.162.244.0/24,13830,13830 971 6939 53850
206.162.244.0/24,1403,1403 6939 53850
206.162.244.0/24,4608,4608 6939 53850
206.162.244.0/24,14907,14907 6939 53850
206.162.244.0/24,34854,34854 6939 53850
206.162.244.0/24,50304,50304 1299 53850
206.162.244.0/24,50300,50300 3257 53850
206.162.244.0/24,58057,58057 34549 1299 53850
206.162.244.0/24,17639,17639 174 53850
206.162.244.0/24,20205,20205 6939 53850
206.162.244.0/24,34927,34927 6939 53850
206.162.244.0/24,57381,57381 6939 53850
206.162.244.0/24,24482,24482 6939 53850
206.162.244.0/24,213241,213241 9002 3257 53850
206.162.244.0/24,328840,328840 327727 174 53850
206.162.244.0/24,38855,38855 6939 53850
206.162.244.0/24,29504,29504 6939 53850
206.162.244.0/24,57821,57821 6939 53850
206.162.244.0/24,7018,7018 1299 53850
206.162.244.0/24,216285,216285 8280 6762 3257 53850
206.162.244.0/24,132213,6939 53850
206.162.244.0/24,61218,61218 6939 53850
206.162.244.0/24,48185,48185 6939 53850
206.162.244.0/24,20514,20514 1299 53850
206.162.244.0/24,132825,132825 174 53850
206.162.244.0/24,55720,55720 3257 53850
206.162.244.0/24,49673,49673 20485 1299 53850
206.162.244.0/24,852,852 6939 53850
