prefix,peer_asn,as_path
182.160.124.0/24,1103,1103 6939 139009 24323
182.160.124.0/24,12859,12859 6461 9498 139009 24323
182.160.124.0/24,50629,50629 6461 9498 139009 24323
182.160.124.0/24,205206,205206 6939 139009 24323
182.160.124.0/24,12956,12956 9002 132602 139009 24323
182.160.124.0/24,3320,3320 6939 139009 24323
182.160.124.0/24,8529,8529 6939 139009 24323
182.160.124.0/24,39351,39351 9498 139009 24323
182.160.124.0/24,25160,25160 9498 139009 24323
182.160.124.0/24,47147,47147 4637 9498 139009 24323
182.160.124.0/24,51088,51088 6461 9498 139009 24323
182.160.124.0/24,34019,34019 6939 139009 24323
182.160.124.0/24,24482,24482 9498 139009 24323
182.160.124.0/24,51185,51185 6762 9498 139009 24323
182.160.124.0/24,6461,6461 9498 139009 24323
182.160.124.0/24,3214,3214 9498 139009 24323
182.160.124.0/24,199938,199938 6939 139009 24323
182.160.124.0/24,42541,42541 6939 139009 24323
182.160.124.0/24,1140,1140 6939 139009 24323
182.160.124.0/24,49544,49544 6939 139009 24323
182.160.124.0/24,8218,8218 6939 139009 24323
182.160.124.0/24,50763,50763 6939 139009 24323
182.160.124.0/24,212483,212483 9498 139009 24323
182.160.124.0/24,6830,6830 6939 139009 24323
182.160.124.0/24,6939,6939 139009 24323
182.160.124.0/24,6453,6453 139009 24323
182.160.124.0/24,199524,199524 9498 139009 24323
182.160.124.0/24,8283,8283 6939 139009 24323
182.160.124.0/24,14907,14907 6939 139009 24323
182.160.124.0/24,8455,8455 6939 139009 24323
182.160.124.0/24,48185,48185 6939 139009 24323
182.160.124.0/24,202365,202365 6939 139009 24323
182.160.124.0/24,61218,61218 6939 139009 24323
182.160.124.0/24,59919,59919 6939 139009 24323
182.160.124.0/24,38001,38001 139009 24323
182.160.124.0/24,206499,206499 9498 139009 24323
182.160.124.0/24,44393,44393 212508 9498 139009 24323
182.160.124.0/24,34549,34549 9498 139009 24323
182.160.124.0/24,34800,34800 58057 9498 139009 24323
182.160.124.0/24,202365,202365 50673 9498 139009 24323
182.160.124.0/24,216285,216285 52055 9498 139009 24323
182.160.124.0/24,15562,15562 2914 9498 139009 24323
182.160.124.0/24,55720,55720 3491 6453 139009 24323
182.160.124.0/24,4608,4608 6939 139009 24323
182.160.124.0/24,49673,49673 6939 139009 24323
182.160.124.0/24,213241,213241 6939 139009 24323
182.160.124.0/24,50300,50300 9498 139009 24323
